BOOK,PAGE,TALENT,Desc.,TIER,PREREQUISITE,ACT,FP?,MtR?,BENEFIT,CLASS,TREE,ALL
CR,52,Juggernaut,Your armor does not reduce your speed or the distance you can move while running. You must be proficient with the armor you are wearing to gain this benefit. ,2,Armored Defense,,,,armor does not reduce speed or distance moved while running,Soldier,Armor Specialist,"Gladiator, Imperial Knight, Jedi Knight, Sith Apprentice, Soldier"
CR,207,Juke,"When you fight defensively as the pilot of a vehicle (see CR page 171), you may negate a weapon hit on your vehicle using the Vehicular Combat feat one additional time per round. ",2,Vehicular Evasion,,,,"when fighting defensively, may negate one more attack per round with Vehicular Combat",Ace Pilot,Expert Pilot,Ace Pilot
CR,50,Jury-Rigger,"You may reroll any Mechanics check made to accomplish a jury-rigged repair (see the Mechanics skill, CR page 68). You must, however, accept the result of the reroll.",1,,,,y,reroll Mechanics check to jury-rig,Scout,Fringer,"Outlaw, Scout"
SGD,28,Just a Droid,"You are adept at passing yourself off as an ordinary droid. You can use each of the following actions once per encounter. •Just Another Droid: You are skilled at using Stealth to sneak past unwary enemies when moving in plain sight. You can use the Sneak application of the Stealth skill when in plain sight of an enemy, if the enemy has no reason to doubt that you are just another droid. You are considered trained in Stealth for this action. •Just a Normal Droid: You can reroll Deception checks for deceptive appearance to make observers believe that you are carrying out a standard function when attempting to do something atypical for your droid model or function. You may keep either result.",1,,,,,1/enc: use Sneak of Stealth in plain sight & considered trained; reroll Deception when acting atypical,Independent Droid,Autonomy,Independent Droid
SGD,27,Just a Scratch,"Once per encounter, as a reaction, you can reduce the damage from a single attack that targets your Reflex Defense by an amount equal to your Fortitude Defense. ",1,Equipped & proficient with medium or better armor ,,,,1/enc as reac reduce dam from 1 atk that targets your Ref Def by the amount of your Fort Def,Droid,Fourth-Degree Droid,Droid
R,43,Just What Is Needed,"You have a knack for finding the best quality replacement parts for broken equipment. Whenever you use the Repair application of the Mechanics skill, you restore an extra 1d8 hit points with a successful Mechanics check, in addition to what you would normally restore. If you use the aid another action to assist an ally with repairs, that ally also repairs an extra 1d8 hit points with a successful Mechanics check. Any ally can only benefit from this talent once per Mechanics check, regardless of how many allies with this talent aid on the check.",1,,,,,restore +1d8 hp when use Repair of Mechanics & with aid another,Improviser,Procurement,Improviser
CR,218,Juyo,"Once per encounter, you may spend a Force Point as a swift action to designate a single enemy in your line of sight. For the remainder of the encounter, you may reroll your first attack roll each round against that opponent, keeping the better result. ",2,"BAB +10, Weapon Specialization*",swif,x,n,"once per encounter, single enemy in LOS, may reroll your first Atk roll, keeping best",Jedi Knight,Lightsaber Forms,Jedi Knight
GW,33,K'tara Expertise,"Once per turn, when you damage a creature or droid with an unarmed attack, you can make an attack to disarm as a swift action. Also, you do not take the -5 penalty to your attack roll if the target is wielding a weapon with more than one hand.",1,,,,,"1/turn creature or droid damaged by unarmed atk, disarm as swif, do not take -5 if in two hands",Martial Arts Master,Martial Arts Forms,Martial Arts Master
GW,33,K'thri Expertise,Any enemy that begins its turn adjacent to you takes damage equal to your Strength modifier (minimum 1 point) if you are able to make an attack of opportunity against them. You can use this talent while wearing only light armor or no armor.,1,,,,,any enemy adjacent takes dam = your Str mod (min 1) if you can make Atk of Opp if you're in light or no armor,Martial Arts Master,Martial Arts Forms,Martial Arts Master
CR,49,Keen Shot,"You take no penalty on your attack roll when attacking a target with concealment (but not total concealment).  Unleashed: When you make a ranged attack, you can spend a Destiny Point to ignore all cover on attacks until the beginning of your next turn. ",2,Acute Senses,,,,no penalty vs. opponents in concealment (except total concealment),Scout,Awareness,"Bounty Hunter, Gladiator, Gunslinger, Martial Arts Master, Pathfinder, Scout, Vanguard"
R,28,Keep It Going,"If you reduce your prime target to 0 hit points, as a free action you can designate another target within your line of sight as your new prime target. This new target remains your prime target until the end of the encounter. ",2,Ambush Specialist,free,,,"if you reduce your prime target to 0 hp, designate a new prime target",Soldier,Ambusher,Soldier
CR,207,Keep It Together,"Whenever you successfully jury-rig a device or vehicle, the vehicle does not move -5 steps along the condition track at the end of the encounter, though it does move -2 persistent steps down the condition track. ",1,,,,,"once per encounter, vehicle avoids moving down CT",Ace Pilot,Expert Pilot,Ace Pilot
SV,17,Keep it Together,"Once per encounter, when a vehicle you're piloting takes damage that equals or exceeds its damage threshold, your vehicle avoids moving down the condition track (see Conditions, page 148).",2,Jury-Rigger,,,,if you jury-rig vehicle moves -2 CT at end not -5,Scout,Fringer,"Outlaw, Scout"
C,26,Keep Them at Bay,"When you use the aid another action to suppress an enemy, that enemy takes a -5 penalty on its next attack instead of the normal -2 penalty. Only 1 character may gain the benefits of this talent against a given target at a time.",1,,,,,"if you aid another to suppress an attack, the enemy takes -5 on its atk not -2",Soldier,Commando,"Elite Trooper, Officer, Soldier"
GW,31,Keep Them Honest,"When using the aid another action to suppress an enemy (see page 151 of the Saga Edition core rulebook), the enemy instead takes a -5 penalty to all attack rolls until the end of your next turn. ",1,Careful Shot feat,,,,"with Aid Another to suppress enemy, enemy takes -5 on all atk rolls until end of your next turn",Gunslinger,Gunslinger,Gunslinger
SV,33,Keep Them Reeling,"As a standard action, you can make a single melee attack against a target within reach. If the attack hits, you deal no damage, but your target must move or withdraw away from you on its next turn.",1,,stan,,,"make single melee atk v. within reach, if hits deal no damage but target must move/withdraw next turn",Master Privateer,Piracy,Master Privateer
R,28,Keep Them Reeling,"Once per turn as a swift action, you can make an Initiative check, opposed by the Initiative check of your prime target. If your check result equals or exceeds your prime target’s check result, your target is flat-footed against all attacks you make before the end of your turn. ",2,Ambush Specialist,swif,,,"1/turn make opposed Initiative check v. prime target, if win prime target is flat-footed v. you",Soldier,Ambusher,Soldier
GI,22,Keep Together,"Whenever you are hit or missed by a melee or a ranged attack, you can move up to your speed as a reaction, provided that you end your movement adjacent to an ally. This movement does not provoke attacks of opportunity.",1,,,,,"when hit or missed by attack move speed as reac & must end adjacent to ally, no AoO",Scout,Espionage,Scout
CR,46,Knack,"Once per day, you can reroll a skill check and take the better result. You can select this talent multiple times; each time you select this talent, you can use it one additional time per day. [[Weak talent option: make it 1/encounter instead of 1/day.]]",1,,,,n,"once a day, reroll skill check",Scoundrel,Fortune,"Charlatan, Gunslinger, Scoundrel"
L,45,Knight's Morale,"When an ally within 12 squares of you and within your line of sight hits with a lightsaber attack, you gain a +1 morale bonus to all defenses until the end of your next turn.",1,,,,,when ally w/in 12 sq hits with lightsaber you gain +1 all Def until end of your next turn,Imperial Knight,Knight's Resolve,Imperial Knight
F,42,Knockback,"When you score a critical hit against a target no more than two size categories larger than you are, you can choose to move that opponent 1 square in any direction as a free action. You cannot use this talent on an opponent that is being grabbed or grappled, and you cannot move your target into a solid object or another creature's fighting space.",1,,,,,"with a crit move opponent back 1sq if they are not grabbed/grappled or into something, within 2 sizes",Elite Trooper,Critical Master,Elite Trooper
