BOOK,PAGE,FEAT,Desc.,PREREQUISITES,BENEFIT,Jedi,Noble,Scoundrel,Scout,Soldier,TAG
K,35,Republic Military Training,"Once per encounter, as a reaction, you gain DR 10 against an incoming attack if you have cover from the attacker. You can gain the DR as long as you have cover, even if your opponent uses aim to ignore your cover bonus to Reflex Defense.",,"Once per encounter as reac, gain DR10 if you have cover even v. aim",,,,,,[combat][defensive]
GW,25,Resilient Strength,You can use either your Strength modifier or your Constitution modifier to determine your Fortitude Defense.,Str 13,can use Str or Con mod to determine Fort Def,x,,,x,x,"[strength], [constitution], [fortitude defense], [defensive]"
GI,28,Resolute Stance,"When you fight defensively, you gain a +2 morale bonus to your Will Defense. If you make no attacks until your next turn, you gain a +5 morale bonus to your Will Defense until the start of your next turn. Normal: When you fight defensively, you gain a +2 dodge bonus to your Reflex Defense. If you make no attacks until your next turn, you gain a +5 dodge bonus to your Reflex Defense until the start of your next turn.",BAB +1,fight defensively to gain +2 or +5 to Will Def with no attacks,x,,,,x,"[Will Defense], [combat][defensive]"
SV,24,Resurgence,"When you catch your second wind, you immediately gain a move action to be used immediately.",Trained in Endurance,catch second wind & immediately gain immediate move action,x,,,x,x,"[skill(endurance)], [second wind], [mobility], [combat][defensive]"
R,35,Resurgent Vitality,"Whenever you catch a second wind, you regain an additional number of hit points equal to twice your Constitution bonus (minimum 2).",Wookiee,with Second Wind gain additional hp = twice Con bonus (min 2),,,,,,"[species(wookiee)], [second wind], [combat][defensive]"
L,37,Return Fire,"Select one exotic weapon or weapon group. Once per encounter as a reaction, you can make a single ranged attack with the chosen weapon or group against an enemy that misses you with a ranged attack, provided you have line of sight to that enemy. Special: If you have the Combat Reflexes feat, you may use this feat a number of times during an encounter equal to your Dexterity bonus, but no more than once during a given enemy's turn. This feat does not apply to vehicle weapons or heavy weapons. You must have your weapon in hand to use this feat. You can gain this feat multiple times. Each time you take the feat, it applies to a different weapon group or exotic weapon.","DEX 15, Quick Draw, Weapon Focus (chosen exotic ranged weapon or weapon group), BAB +1",1/enc as reac ranged atk v. target that missed you w/ranged atk in LOS,,x,x,x,,"[ranged(grenade, fired, thrown)][ranged attack], [combat][offensive], [defensive], [dexterity]"
L,37,Returning Bug,"When you miss with a razor bug or a thud bug (see page 64), the weapon returns to your hand immediately.",Proficient with weapon used*,if you miss with razor or thud bug it automatically returns,,x,x,,,"[thrown], [combat][offensive]"
GW,25,Riflemaster,"When you make a ranged attack with a rifle, you gain one of the following benefits, depending on the kind of rifle you use. Blaster Carbine: You can brace a blaster carbine set to autofire, even though it is not an autofire-only weapon. Blaster Rifle: You treat the blaster rifle as an accurate weapon. Heavy Blaster Rifle: When you use a heavy blaster rifle, the damage dice increase from d10 to d12. Light Repeating Blaster: You treat the light repeating blaster as if it were Medium instead of Large.",Proficient with weapon used*,"Blaster Carbine can brace set to autofire, Blaster Rifle is accurate, Heavy Blaster Rifle dam dice d12, Light Repeating Blaster as if M not L",,,,x,x,"[ranged(fired)], [combat][offensive], "
GW,25,Risk Taker,"You fall only if you fail a Climb check by 10 or more. Additionally, if you make a Jump check and fail to land on a safe or solid surface (such as if you fall into a pit or fail to clear a stream of lava), you can spend a Force Point as a free action and add the result of the Force Point roll to your distance jumped. However, you must land in the first available safe square. Normal: You fall if you fail a Climb check by 5 or more.",Trained in Climb or Jump,"fall only if fail by 10 or more & make Jump to land safely, can spend FP & add to distance jumped & must land on solid surface",x,,,x,x,"[skill(climb)], [skill(jump)]"
CR,88,Running Attack,"When making an attack with a melee or ranged weapon, you can move both before and after the attack, provided that your total distance moved is not greater than your speed. [[Can be used by a mount. wording implies one single attack; not compatible with charge or multiple attacks, even if you have an ability that allows for multiple attacks as a standard action. I don't think it's compatible with lightsaber form powers. Once you activate your lightsaber form power as a standard action, the target is usually ""one enemy within your reach."" I think that means, One enemy within your reach at the time you activate the power. Therefore, you can't activate the power if you're not within melee reach of your target, and then use Running Attack to get to your target. On the other hand, it can be argued that as along as you're making an attack, the fact that it is the result of a Force power is irrelevant. It can also be argued that as long as you're making a melee or ranged attack, then it doesn't matter if you make more than one attack.]]",Dex 13,"move before and after an attack, cannot exceed speed",x,,x,x,x,"[ranged(grenade, fired, thrown)][attack roll], [melee(armed, unarmed)][question ulswp], [mobility], [combat][offensive], , , [dexterity]"
K,31,Running Attack + Dodge,You can add your Dodge bonus to your Reflex Defense against anyone who makes an attack of opportunity against you while using the Running Attack feat. ,"Combo, requires Dodge",add Dodge bonus to Ref Def v. Atk of opp,,,,,,"[ranged(grenade, fired, thrown)][attack roll], [melee(armed, unarmed)][question ulswp], [mobility], [combat][defensive][offensive], [combo], [dexterity]"
GI,28,Sadistic Strike,"When you deliver a coup de grace to a helpless creature, all opponents within line of sight move -1 step on the condition track until the end of the encounter.",,when you deliver a coup de grace all enemies in LOS move -1 CT until end of enc,,x,x,,x,"[ranged(fired)][question gtaoo], [melee(armed, unarmed)], [combat][offensive], [damage]"
F,35,Savage Attack,"Choose one of the weapon groups or exotic weapons you selected for the Double Attack feat. When you use a full attack action and successfully hit the target with your first attack, you deal +1 die of damage on each successful attack remaining in the full attack action made against that target.","Double Attack (chosen weapon), proficient with weapon*, BAB +6","with full attack if hit on first attack, +1 die dam v. same target",x,,,,x,"[ranged(fired, thrown)][target], [question gtmulti], [melee(armed, unarmed)][question ulswp], [combat][offensive]"
F,35,Scavenger,"You can spend 1 hour scavenging materials from other vehicles or objects. When you do so, you make a Perception check to determine the value of the parts scavenged. You produce raw materials equal in value to the result of your Perception check x 30 credits. You must apply these raw materials toward the cost of construction of a single object (see the build object application of the Mechanics skill, described on FU page 30), and you can scavenge parts for only a single object at any given time. Additionally, you can scavenge raw materials only once for any given object you are attempting to build.",,"1 hour scavenging, Perception check to determine value",,,x,,,"[skill(perception)]), [skill(mechanics], [craft]"
R,35,Scion of Dorin,You gain a +5 species bonus to your Fortitude Defense against all natural hazards.,Kel Dor,+5 Fort Def v. natural hazards,,,,,,"[species(kel dor)], [fortitude defense], [defensive]"
SGD,24,Sensor Link,"As a swift action, you can broadcast the input from your audio, visual, and any special sensors to a droid ally, com link, communications system, or holographic receiver within 24 squares. That ally is aware of anything you are aware of, and can use the aid another action to aid on your Perception checks even if you do not have line of sight to one another. lf both you and your ally have Sensor Link, you share information simultaneously, granting a +2 bonus to Perception checks. Special: Cyborgs with built-in cybernetic sensors and communications gear can also take this feat.",Droid or cyborg with associated hardware,"as swif broadcast input to any receiver in 24 sq as if they were with you, allies can use aid another on Perception",,,,,,"[species(droid)], [species(cyborg)], [skill(perception)]"
C,31,Separatist Military Training,"While you are adjacent to at least one of your allies, gain a +1 circumstance bonus on any one attack roll you make on your turn.",,+1 Atk to one attack if adjacent to ally,,,,,x,"[ranged(grenade, fired, thrown)][attack roll], [melee(armed, unarmed)], [combat][offensive]"
CR,88,Shake It Off,"You can spend two swift actions instead of three swift actions to move +1 step along the condition track (see Conditions, page 148). Normal: It takes three swift actions to move +1 step along the condition track.","Con 13, trained in Endurance",spend two swift actions to move +2 up condition track,,,,,x,"[skill(endurance)], [constitution]"
